 覚悟と兆し|Resolutions and Omens
 誰が一番？|Who Is the Best? 
 メイリーフと小鳥の報せ|Story of Mayleaf and the Songbird
 クラウスとジョゼフ|Klaus and Joseph 
 レオの遺せし物|Leo's Legacy 
 ハイデル平原　試練：湧き出ずる災い|Hidell Plains Trial: A Gush of Misfortune
 ハイデル平原　試練：アークの守護者|Hidell Plains Trial: The Ark's Guardian
 ブリア海岸　試練：蒼き燐光|Breya Coast Trial: A Bright Blue Glow
 ブリア海岸　試練：轟く白き雷鳴|Breya Coast Trial: A Great White Thunder 
 ミスリウ森林　試練：悪夢の巨影|Mysree Forest Trial: A Nightmare's Great Shadow
 ミスリウ森林　試練：黒き呪縛の殺意|Mysree Forest Trial: The Malice of the Accursed
 ボルド鉱山　試練：漆黒に浮かぶ怨|Volden Mines Trial: A Forlorn Complaint
 ボルド鉱山　試練：炎の蒸留源|Volden Mines Trial: Spirits Aflame 
 ダウ渓谷　試練：石呪の木立|Dowe Valley Trial: The Cursed Grove
 ダウ渓谷　試練：井戸底からの呼び声|Dowe Valley Trial: The Cries from the Bottom of the Well 
 ミスリウ森林深部　試練：忘れられた想い|Mysree Grove Trial: The Long-Forgotten Memory
 ミスリウ森林深部　試練：忘我の果てに|Mysree Grove Trial: The End of Oblivion
 ディナン深層林　試練：ヘレティックグリーン|Deenan Woods Trial: Heretic Green
 ディナン深層林　試練：絶対零度の咆哮|Deenan Woods Trial: A Roar of Absolute Zero
 バートランド平原　試練：狡猾な石刃|Betland Plains Trial: The Crafty Stone Ones
 バートランド平原　試練：亡き貴婦人へのレクイエム|Betland Plains Trial: Requiem for the Fallen Lady
 バートランド平原北部　試練：砦の騒動|Northern Betland Plains Trial: The Turmoil in the Fort 
 バートランド平原北部　試練：廃水廊に潜むもの|Northern Betland Plains Trial: What Lurks in Wastewater
 ザンドラ禁域　試練：漆黒のつむじ風|Zandora Wastelands Trial: A Jet-Black Whirlwind
 ザンドラ禁域　試練：赤き十字架の礎|Zandora Wastelands Trial: Cornerstone of the Crimson Cross 
 ザンドラ東部　試練：虚ろの客人|Eastern Zandora Trial: The Hollow Visitors 
 ザンドラ東部　試練：眠らずの始祖たち|Eastern Zandora Trial: The Restless Ancestors
 亡都メルゴダ　試練：破滅のサロン|Mergoda Ruins Trial: The Fall of Salon 
 亡都メルゴダ　試練：凍てつく魂の標榜|Mergoda Ruins Trial: The Frost Spirit Champion 
 魔赤島　試練：異郷の聖堂|Bloodbane Isle Trial: A Strange Land's Temple
 魔赤島　試練：狂乱の異形|Bloodbane Isle Trial: A Frenzied Abomination 
 魔赤島　試練：蝕まれゆく双牙|Bloodbane Isle Trial: The Worn Twin Tusks
 エラン水林　試練：闇より響く遠吠え|Elan Water Grove Trial: The Howling from the Dark
 エラン水林　試練：友の足取り|Elan Water Grove Trial: A Friend's Trail 
 エラン水林　試練：舞い降りし銀影|Elan Water Grove Trial: A Silvery Shadow Swoops
 エラン水林　試練：緑の妄執|Elan Water Grove Trial: Green Delusions
 エラン水林　試練：荒れ狂う青樹|Elan Water Grove Trial: Rampaging Green Tree 
 エラン水林　試練：無秩序なる訪れ|Elan Water Grove Trial: Tidings of Turmoil 
 ファーラナ平原　試練：過ぎし日の教えを|Farana Plains Trial: The Old Ways
 ファーラナ平原　試練：栄誉の守り番|Farana Plains Trial: The Honor Guards
 ファーラナ平原　試練：響き来る滅亡|Farana Plains Trial: Approaching Echoes of Doom
 ファーラナ平原　試練：もう一つの枝|Farana Plains Trial: Another Branch
 ファーラナ平原　試練：轟鳴せし滅亡|Farana Plains Trial: Thundering Downfall 
 ファーラナ平原　試練：対岸に揺らぐ影|Farana Plains Trial: The Shadow on the opposite Shore
 ファーラナ平原　試練：赤き妖光の謎|Farana Plains Trial: The Mystery of the Red Light
 モロー樹林　試練：群れ、蔓延する不安|Morrow Forest Trial: Flocking Apprehension 
 モロー樹林　試練：変わり果てた同胞に宛てて|Morrow Forest Trial: For Our Altered Kin 
 モロー樹林　試練：明日を屠る暴虐|Morrow Forest Trial: An Impending Massacre 
 モロー樹林　試練：苦難のきざし|Morrow Forest Trial: Traces of Tribulation 
 モロー樹林　試練：悲哀の羽ばたき|Morrow Forest Trial: Flight of Sorrow
 キンガル峡谷　試練：水面を舞う影|Kingal Canyon Trial: Dancing Shadows on the Water
 キンガル峡谷　試練：悪逆の証明|Kingal Canyon Trial: Proof of Atrocities 
 キンガル峡谷　試練：閉ざされし扉の向こう|Kingal Canyon Trial: Behind the Closed Doors 
 キンガル峡谷　試練：置き去りの記憶|Kingal Canyon Trial: Memories of Desertion 
 キンガル峡谷　試練：望まれし変革|Kingal Canyon Trial: A Desired Transformation
 ガーデン・エクステンド|Extend Garden
 奇妙な魔物探索|Strange Creature Investigation 
 カスタムメイド工房１　探求者の帰還|Custom-Made WorkshopSearcher's Return
 カスタムメイド工房２　リミット解除|Custom-Made WorkshopLimit Break
 カスタムメイド工房３　武具極限合成|Custom-Made WorkshopUltimate Arms Synthesis
 不思議な呼び鈴|Mysterious Summoning Bell
 忠心の内に輝くもの|Shining Within a Loyal Heart 
 英霊眠りし道へ　ラスニテ地方|To the Heroic Spirit Sleeping Path Rathnite District
 英霊眠りし道へ　フェルヤナ地方|To the Heroic Spirit Sleeping Path Feryana District 
 英霊眠りし道へ　メガドシス地方|To the Heroic Spirit Sleeping Path Megadosys District 
 英霊眠りし道へ　ウルテカ地方|To the Heroic Spirit Sleeping Path Urteca District
 王家を救いし料理番|Save the Royal Family Cook 
 奪還を指揮せし異才者|Rescue the Genius Commander
 暗部を暴きし暗躍者|Expose the Dark Side to the One Operating behind the Scenes
 王家再興の褒章１|Restored Medal of the Royal Family I 
 王家再興の褒章２|Restored Medal of the Royal Family II
 王家再興の褒章３|Restored Medal of the Royal Family III 
 王家再興の褒章４|Restored Medal of the Royal Family IV
 ハイセプターを継ぎし者|The High Scepter's Heir
 黒呪の迷宮へ|To the Bitterblack Maze
 【調理日課】ティネス　調理支給|Daily Cooking: Thines - Cooking Supply 
 【調理日課】ロスギル　出張調理|Daily Cooking: Rosguill - Cooking Trip 
 【調理日課】ピレモス　悪童保護|Daily Cooking: Piremoth - Babysitting Brats
 【参謀日課】展望城　任務指示|Daily Council: Lookout Castle - Instructions for Duty
 【参謀日課】メフィテ　弱点研究|Daily Council: Mefite - Research Materials 
 【参謀日課】盗賊アジト　情報収集|Daily Council: Bandit Hideout - Collect Information
 冒険スポットの手引き：ラスニテ山麓１|Adventure Spot Guide: Rathnite Foothills I 
 冒険スポットの手引き：ラスニテ山麓２|Adventure Spot Guide: Rathnite Foothills II
 冒険スポットの手引き：ラスニテ山麓３|Adventure Spot Guide: Rathnite Foothills III 
 冒険スポットの手引き：ラスニテ山麓４|Adventure Spot Guide: Rathnite Foothills IV
 冒険スポットの手引き：フェルヤナ荒原１|Adventure Spot Guide: Feryana Wilderness I 
 冒険スポットの手引き：フェルヤナ荒原２|Adventure Spot Guide: Feryana Wilderness II
 冒険スポットの手引き：フェルヤナ荒原３|Adventure Spot Guide: Feryana Wilderness III 
 冒険スポットの手引き：メガドシス高地|Adventure Spot Guide: Megadosys Plateau I
 冒険スポットの手引き：メガドシス高地|Adventure Spot Guide: Megadosys Plateau II 
 冒険スポットの手引き：メガドシス高地|Adventure Spot Guide: Megadosys Plateau III
 冒険スポットの手引き：ウルテカ山岳|Adventure Spot Guide: Urteca Mountains I 
 冒険スポットの手引き：ウルテカ山岳|Adventure Spot Guide: Urteca Mountains II
 冒険スポットの手引き：ウルテカ山岳|Adventure Spot Guide: Urteca Mountains III 
 王冠と王笏＜１＞|Crown and Scepter I
 王冠と王笏＜２＞|Crown and Scepter II 
 王冠と王笏＜３＞|Crown and Scepter III
 王冠と王笏＜４＞|Crown and Scepter IV 
 ガルドリンはどこだ！？|Where Is Gurdolin!?
 ガルドリンはどこだ！？|Where Is Gurdolin!?
 ガルドリンはどこだ！？|Where Is Gurdolin!?
 ガルドリンはどこだ！？|Where Is Gurdolin!?
 魔剣の証　ハイセプター戦術試練|High Scepter Tactics Trial: A Magick Sword 
 求道の師を訪ねて　ハイセプター|Seeking the Master High Scepter 
 ジョブエンブレム試練　ファイター|Vocation Emblem Trial: Fighter 
 ジョブエンブレム試練　プリースト|Vocation Emblem Trial: Priest
 ジョブエンブレム試練　ハンター|Vocation Emblem Trial: Hunter
 ジョブエンブレム試練　シールドセージ|Vocation Emblem Trial: Shield Sage 
 ジョブエンブレム試練　シーカー|Vocation Emblem Trial: Seeker
 ジョブエンブレム試練　ソーサラー|Vocation Emblem Trial: Sorcerer
 ジョブエンブレム試練　エレメントアーチャー|Vocation Emblem Trial: Element Archer
 ジョブエンブレム試練　ウォリアー|Vocation Emblem Trial: Warrior 
 ジョブエンブレム試練　アルケミスト|Vocation Emblem Trial: Alchemist 
 ジョブエンブレム試練　スピリットランサー|Vocation Emblem Trial: Spirit Lancer 
 ジョブエンブレム試練　ハイセプター|Vocation Emblem Trial: High Scepter
 エンブレムストーンの行方|The Emblem Stone's Whereabouts 
 戦技の継承　火竜求道試練１|Skill Augmentation Fire Dragon Trial: I
 戦技の継承　火竜求道試練２|Skill Augmentation Fire Dragon Trial: II 
 ハロウィンの闇|The Darkness of Halloween
 不思議な流れ星とみんなの願い＜１＞|Wish on a Shooting Star I
 不思議な流れ星とみんなの願い＜２＞|Wish on a Shooting Star II 
 不思議な流れ星とみんなの願い＜３＞|Wish on a Shooting Star III
 不思議な流れ星とみんなの願い＜４＞|Wish on a Shooting Star IV 
 クリスマス　（準備用）| 
 艶やか、かつ華やか|How Glamorous, How Gorgeous
 ただ一つの想い＜For Men＞|The Only One in My Thoughts (For Men)
 ただ一つの想い＜For Women＞|The Only One in My Thoughts (For Women)
 愛し君のための贈り物＜１＞|A Gift for You, My Love ()
 愛し君のための贈り物＜２＞|A Gift for You, My Love ()
 緊急！　お菓子が足りない！＜１＞|Emergency! Not Enough Candy! () 
 事件？　お菓子が足りない！＜２＞|Emergency! Not Enough Candy! () 
 笑顔振りまくメリークリスマス＜１＞|A Merry Christmas Spreading Cheer ()
 笑顔振りまくメリークリスマス＜２＞|A Merry Christmas Spreading Cheer ()
 【鬼哭蒐集】異世界は突然に|Ghost Wail Collection: Suddenly a Different World
 【鬼哭蒐集】クエストオブオーバーロード|Ghost Wail Collection: Quest of Overlord 
 【鬼哭蒐集】オバロコラボセット用|Ghost Wail Collection: For Overlord Collaboration Set
 ラスニテ山麓　試練：捕虜奪還|Rathnite Foothills Trial: Recover Prisoners of War 
 ラスニテ山麓　救援要請|Rathnite Foothills Rescue Request 
 ラスニテ山麓　解放軍支援|Rathnite Foothills Liberation Army Support
 ラスニテ山麓　敵追跡討伐|Rathnite Foothills Defeat Enemy Pursuit 
 ラスニテ山麓　敵襲撃阻止|Rathnite Foothills Prevent Enemy Attack 
 ラスニテ山麓　試練：魔軍襲撃探知|Rathnite Foothills Trial: Detect the Demon Army's Attack 
 魔軍戦車カトブレパス|Demon Army Tank Catoblepas 
 フェルヤナ荒原　試練：調達部隊支援|Feryana Wilderness Trial: Support the Provision Forces 
 フェルヤナ荒原　敵追跡討伐|Feryana Wilderness Defeat Enemy Pursuit 
 フェルヤナ荒原　解放軍支援|Feryana Wilderness Liberation Army Support
 フェルヤナ荒原　救援要請|Feryana Wilderness Rescue Request 
 フェルヤナ荒原　敵襲撃阻止|Feryana Wilderness Prevent Enemy Attack 
 フェルヤナ荒原　試練：魔の封印捜査|Feryana Wilderness Trial: Investigate Sealed Evil
 古代の闇の中へ|Into the Ancient Darkness
 メガドシス高地　試練：資材調達|Megadosys Plateau Trial: Material Procurement
 メガドシス高地　救援要請|Megadosys Plateau Rescue Request
 メガドシス高地　解放軍支援|Megadosys Plateau Liberation Army Support 
 メガドシス高地　敵追跡討伐|Megadosys Plateau Defeat Enemy Pursuit
 メガドシス高地　敵襲撃阻止|Megadosys Plateau Prevent Enemy Attack
 メガドシス高地　試練：異端の影|Megadosys Plateau Trial: Shadow of Heresy
 力に呑まれし王者|The Ruler Overwhelmed by Power 
 【ベルセルク】因果の流れの中に――|Berserk In the Flow of Causality... 
 ウルテカ山岳　試練：原種の縄張り|Urteca Mountains Trial: Territory of the Ancestors 
 ウルテカ山岳　試練：痛刻の洞|Urteca Mountains Trial: The Scarred Cavern 
 ウルテカ山岳　試練：静かな抗戦跡|Urteca Mountains Trial: Quiet Battlefield of the Resistance
 ウルテカ山岳　試練：原初の集落|Urteca Mountains Trial: Primitive Settlement 
 ウルテカ山岳　試練：建設資材集積場|Urteca Mountains Trial: Construction Materials Collection Spot 
 ウルテカ山岳　試練：闇の滴り|Urteca Mountains Trial: A Trickle in the Darkness
 彼方より堕ち呼ばれし魔道|Magick Called to the Deepest Depths
 一目ごとに想いを込めて＜１＞|All Your Feelings in One Glance I
 一目ごとに想いを込めて＜２＞|All Your Feelings in One Glance II 
 麗しの君へ綴る文＜１＞|A Letter to You, My Beloved I
 麗しの君へ綴る文＜２＞|A Letter to You, My Beloved II 
 ガルドノック砦の異変|Strange Happening at Guardknock Fortress 
 神殿を狙うは――|Aiming for the Temple
 次代の竜となる者へ|To The One Who Will Become the Next Dragon 
 ワイルドハントのご案内|Information on Wild Hunt 
 竜の力を帯びた武具＜１＞|Arms With the Power of the Dragon I
 竜の力を帯びた武具＜２＞|Arms With the Power of the Dragon II 
 竜スキル解放PQ③|Unlocking Dragon Skills
 黒呪の迷宮　深淵への案内|Information on Bitterblack Maze Abyss
 途絶えぬ闇|Unending Darkness
 野菜料理初級編|Elementary Vegetable Dish
 キノコ料理初級編|Elementary Mushroom Dish 
 肉料理初級編|Elementary Meat Dish 
 野菜料理中級編|Intermediate Vegetable Dish
 キノコ料理中級編|Intermediate Mushroom Dish 
 肉料理中級編|Intermediate Meat Dish 
 駐労感謝の日|Labor Appreciation Day 
 始まりの扉|Gate of Origin 
 禁断のスプラッシュ！|Forbidden Splash!
 名も無き墓標|Nameless Gravestone
 青空キャンプ|Blue Sky Camp
 不思議なかたち|Mysterious Shape 
 蒼き神樹|Blue Heavenly Tree 
 楽園の扉|Gate of Paradise 
 端正なる鋭槍|A Straight Sharp Spear 
 湖畔の涼地|Lush Lake Shore
 賢者の墓参り|A Visit to the Sage's Grave
 本の虫？|A Bookworm?
 動かぬ番人|Unyielding Watchman
 厳かなる泉|The Solemn Spring
 君を想う|Thinking of You
 写っているのは――？|What Is Being Photographed?
 改めて敬意を|Paying Respects Again
 悩める右腕|A Troublesome Right Arm
 青田買い？|Recruiting Already?
 秘密の部屋|The Hidden Chamber 
 堅守の灯火|The Light of Defense 
 燐光に包まれて|Engulfed in Phosphorescence
 遺風残香|Traces of Old Customs
 ご機嫌を伺いに|Courtesy Visit 
 和みの湯|A Soothing Hot Bath
 光るガラクタ|Shining Junk 
 豪奢な隠れ家|A Luxurious Hideout
 古城の眺望|View from the Old Castle 
 お邪魔はしません|Won't Intrude
 イニアスの猟奇|Seeking the Strange Inias
 密猟駆逐作戦|Poaching Elimination Strategy
 可憐なる射手|The Lovely Archer
 秘境の温泉|A Secluded Hot Spring
 華麗な遺風|Magnificent Traditions 
 湖畔の神殿|The Temple on the Lake 
 華麗なる戦士|The Splendid Soldier 
 砦の威光|The Fort's Authority 
 堅牢の砦|The Solid Fortress 
 立ち塞がるは仁王|Gods Stand in One's Path 
 万年床|Unmade Bedding 
 赤々しき球|Bright Red Orb 
 灯台鎮魂歌|Lighthouse Requiem 
 奇妙な屍竜|Strange Undead Dragon
 秘めし豪運|Secret Great Luck
 とある錬金実験室|A Certain Alchemy Laboratory 
 ドラゴンフォール|Dragon Falls 
 遺りし噴水|The Remaining Fountain 
 巨大機兵と共に|With the Goliath 
 王宮の面影|Image of the Palace
 安眠の虜|The Peacefully Sleeping Captive
 知略集う場所|Where the Resourceful Gather 
 いにしえの女帝像|The Ancient Empress Statue 
 華麗なる舞姫|The Grand Dancing Girl 
 堂々たる名華|The Magnificent Flower 
 遠望の灼溶山|View of the Melting Mountain 
 隠れ村の麗滝|Lovely Waterfall of the Hidden Village 
 フォトモードを使い、指定の場所でポーンと写真を撮る|Take a picture with your pawn at the specified location using Photo Mode 
 【調理日課】ティネス　調理支給|Daily Cooking: Thines - Cooking Supply 
 【調理日課】ロスギル　出張調理|Daily Cooking: Rosguill - Cooking Trip 
 【調理日課】ピレモス　悪童保護|Daily Cooking: Piremoth - Babysitting Brats
 【参謀日課】展望城　任務指示|Daily Council: Lookout Castle - Instructions for Duty
 【参謀日課】メフィテ　素材研究|Daily Council: Mefite - Research Materials 
 【参謀日課】盗賊アジト　情報収集|Daily Council: Bandit Hideout - Collect Information
 【諜報日課】王都メガド　追跡捜査|Daily Espionage: Royal Capital Megado - Follow Clues 
 【諜報日課】エリ警備塔　資材回収|Daily Espionage: Eli Guard Tower - Recover Materials 
 【諜報日課】メガドシス高地　仲間救出|Daily Espionage Megadosys Plateau - Rescue Friends
 グリッテン砦攻防戦|Battle for Gritten Fort
 グリッテン砦攻防戦|Battle for Gritten Fort
 グリッテン砦攻防戦|Battle for Gritten Fort
 グリッテン砦攻防戦|Battle for Gritten Fort
 グリッテン砦攻防戦|Battle for Gritten Fort
 グリッテン砦攻防戦　戦況：接戦|Battle for Gritten Fort: Close Battle
 グリッテン砦攻防戦　戦況：接戦|Battle for Gritten Fort: Close Battle
 グリッテン砦攻防戦　戦況：苦戦|Battle for Gritten Fort: Uphill Battle 
 グリッテン砦攻防戦　戦況：苦戦|Battle for Gritten Fort: Uphill Battle 
 グリッテン砦攻防戦　戦況：激戦|Battle for Gritten Fort: Fierce Battle 
 グリッテン砦攻防戦　戦況：激戦|Battle for Gritten Fort: Fierce Battle 
 グリッテン砦攻防戦　戦況：決死戦|Battle for Gritten Fort: Desperate Battle
 グリッテン砦攻防戦　戦況：怪戦|Battle for Gritten Fort: Mystery Battle
 グリッテン砦攻防戦　戦況：決死戦|Battle for Gritten Fort: Desperate Battle
 グリッテン砦攻防戦　戦況：奪回戦|Battle for Gritten Fort: Recapture Battle
 グリッテン砦攻防戦　戦況：ラストバトル|Battle for Gritten Fort Last Battle 
 魔物のるつぼ|The Crucible of Demons 
 魔物のるつぼ|The Crucible of Demons 
 魔物のるつぼ|The Crucible of Demons 
 魔物のるつぼ|The Crucible of Demons 
 魔物のるつぼ|The Crucible of Demons 
 魔物のるつぼ　：熱波|The Crucible of Demons: Heat Wave
 魔物のるつぼ　：火炎|The Crucible of Demons: Blaze
 魔物のるつぼ　：業火|The Crucible of Demons Inferno
 太古の強者|Ancient Warrior
 太古の強者|Ancient Warrior
 太古の強者|Ancient Warrior
 太古の強者|Ancient Warrior
 太古の強者|Ancient Warrior
 太古の強者|Ancient Warrior
 太古の強者|Ancient Warrior
 眩き黄金|The Dazzling Gold
 眩き黄金|The Dazzling Gold
 眩き黄金|The Dazzling Gold
 眩き黄金|The Dazzling Gold
 眩き黄金|The Dazzling Gold
 眩き黄金|The Dazzling Gold
 失われた秩序|The Lost Order 
 失われた秩序|The Lost Order 
 失われた秩序|The Lost Order 
 失われた秩序|The Lost Order 
 失われた秩序|The Lost Order 
 失われた秩序|The Lost Order 
 目覚めし闇の魔物|The Demon of Darkness Awakens
 目覚めし闇の魔物|The Demon of Darkness Awakens
 目覚めし闇の魔物|The Demon of Darkness Awakens
 目覚めし闇の魔物|The Demon of Darkness Awakens
 魔赤島の狂宴|Bloodbane Isle's Feast of Madness
 魔赤島の狂宴|Bloodbane Isle's Feast of Madness
 魔赤島の狂宴|Bloodbane Isle's Feast of Madness
 魔赤島の狂宴|Bloodbane Isle's Feast of Madness
 古代神殿の死闘|The Deathly Battle of the Ancient Temple 
 古代神殿の死闘|The Deathly Battle of the Ancient Temple 
 古代神殿の死闘|The Deathly Battle of the Ancient Temple 
 古代神殿の死闘　戦況：軽度|The Deathly Battle of the Ancient Temple: Minor
 古代神殿の死闘　戦況：重度|The Deathly Battle of the Ancient Temple: Severe 
 古代神殿の死闘　戦況：危険|The Deathly Battle of the Ancient Temple Peril
 呼び覚まされし竜|The Dragon Awakened
 呼び覚まされし竜|The Dragon Awakened
 呼び覚まされし竜|The Dragon Awakened
 呼び覚まされし竜|The Dragon Awakened
 ダクレイム砦奪還戦|Dacreim Fortress Recapture Battle
 ダクレイム砦奪還戦|Dacreim Fortress Recapture Battle
 ダクレイム砦奪還戦|Dacreim Fortress Recapture Battle
 ダクレイム砦奪還戦|Dacreim Fortress Recapture Battle
 ダクレイム砦奪還戦　戦況：敵軍殲滅|Dacreim Fortress Recapture Battle: Enemy Annihilation
 ダクレイム砦奪還戦　戦況：大将討滅|Dacreim Fortress Recapture Battle: Boss Annihilation 
 ダクレイム砦奪還戦　戦況：大将奮起|Dacreim Fortress Recapture Battle Stirring General
 ジフール砦攻略戦|Jifule Fortress Capture Battle 
 ジフール砦攻略戦|Jifule Fortress Capture Battle 
 ジフール砦攻略戦|Jifule Fortress Capture Battle 
 ジフール砦攻略戦|Jifule Fortress Capture Battle 
 ジフール砦攻略戦　戦況：敵軍殲滅|Jifule Fortress Capture Battle: Enemy Annihilation 
 ジフール砦攻略戦　戦況：大将討滅|Jifule Fortress Capture Battle: Boss Annihilation
 ジフール砦攻略戦　戦況：大将奮起|Jifule Fortress Capture Battle: Stirring General 
 霧の森の死闘|The Deathly Battle of the Forest of Mist 
 霧の森の死闘|The Deathly Battle of the Forest of Mist 
 霧の森の死闘|The Deathly Battle of the Forest of Mist 
 霧の森の死闘|The Deathly Battle of the Forest of Mist 
 霧の森の死闘　戦況：敵軍殲滅|The Deathly Battle of the Forest of Mist Enemy Annihilation 
 霧の森の死闘　戦況：大将討滅|The Deathly Battle of the Forest of Mist: Boss Annihilation
 霧の森の死闘　戦況：大将奮起|The Deathly Battle of the Forest of Mist: Stirring General 
 蘇りし絶望の炎|Resurrection of the Flame of Despair 
 蘇りし絶望の炎|Resurrection of the Flame of Despair 
 蘇りし絶望の炎|Resurrection of the Flame of Despair 
 蘇りし絶望の炎|Resurrection of the Flame of Despair 
 蘇りし絶望の炎　戦況：悪しき竜再誕|Resurrection of the Flame of Despair: Evil Dragon Reborn 
 蘇りし絶望の炎　戦況：火垂れ山頂上|Resurrection of the Flame of Despair: Firefall Peak
 蘇りし絶望の炎　戦況：限界域|Resurrection of the Flame of Despair: Restricted Stage
 アッカーシェラン追懐戦記|Acre Selund War Chronicles 
 アッカーシェラン追懐戦記|Acre Selund War Chronicles 
 アッカーシェラン追懐戦記|Acre Selund War Chronicles 
 アッカーシェラン追懐戦記|Acre Selund War Chronicles 
 アッカーシェラン追懐戦記|Acre Selund War Chronicles 
 獣の将との戦い：ダクレイム砦|Battle with the Beast Commander: Dacreim Fortress
 骸の将との戦い：ジフール砦|Battle with the Undead Commander: Jifule Fortress
 戦の将との戦い：展望城|Battle with the War Commander: Lookout Castle
 闇の将との戦い：霧の森|Battle with the Dark Commander: The Forest of Mist 
