Type,Japanese,English, ,English description,Vocation,Game
Dagger,かまいたち,Biting Wind,,"Dashes past the target with blades extended, delivering slashes that can be followed with further attacks on contacs.",Magick Archer,Dragon's Dogma
Dagger,アギト裂き,Toss and Trigger,,Steps in with blade strike that sends the target aloft. Additional button presses throw and detonate a store of powder.,Magick Archer,Dragon's Dogma
Dagger,かまいたち2,Cutting Wind,,"An advanced form of Biting Wind. Slashes past the target, appending more strikes to the onslaught upon connecting with foe.",Magick Archer,Dragon's Dogma
Dagger,眩ませ縛り,Dazzle Hold,,Casts a firework explosive into the fray that stuns nearby foes.,Magick Archer,Dragon's Dogma
Dagger,構え直し,Reset,,"Returns the user to a neutral stance, eliminating openings caused by other actions.",Magick Archer,Dragon's Dogma
Dagger,アギト裂き2,Advanced Trigger,,An advanced form of Toss and Trigger that both strengthens the upward slash and broadens the subsequent blast.,Magick Archer,Dragon's Dogma
Dagger,眩ませ縛り2,Dazzle Blast,,An advanced form of Dazzle Hold that tosses an explosive crafted to stun foes within a broader radius.,Magick Archer,Dragon's Dogma
Dagger,百裂斬り2,Hundred Kisses,,"An advanced form of Scarlet Kisses that focuses a quick flurry of slashes on a single point, allowing for more strikes.",Magick Archer,Dragon's Dogma
Dagger,構え直し2,Instant Reset,,"An advanced form of Reset employable even while under attack that returns the user to a neutral stance, eliminating openings caused by other actions.",Magick Archer,Dragon's Dogma
Dagger,百裂斬りEX,Thousand Kisses,,An advanced form of Hundred Kisses that heightens the speed and number of slashes in the flurry.,Magick Archer,Dragon's Dogma
Dagger,かまいたちEX,Shearing Wind,,"An advanced form of Cutting Wind that increase the attack range, the amount of strikes, and the speed of dash.",Magick Archer,Dragon's Dogma
Staff,ファイアボール,Ingle,,"Looses a ball of fire that explodes upon contact, engulfing both the target and surrounding foes.",Magick Archer,Dragon's Dogma
Staff,フリージングゾーン,Frazil,,Creates a concentrated field of cold in front of the user that freezes solid whatever enemies it visits.,Magick Archer,Dragon's Dogma
Staff,サンダーレイン,Levin,,Smites the enemy from abovde with tongues of lightning. Especially effective at driving foes out of hiding.,Magick Archer,Dragon's Dogma
Staff,ファイアボール2,High Ingle,,An advanced form of Ingle that looses a number of fiery projectiles that explode on contact.,Magick Archer,Dragon's Dogma
Staff,フリージングゾーン2,High Frazil,,An advanced form of Frazil that creates an expanded field of cold around the user that deals ice damage to those it touches.,Magick Archer,Dragon's Dogma
Staff,サンダーレイン2,High Levin,,An advanced form of Levin that smites foes with multiple lighting bolts from above.,Magick Archer,Dragon's Dogma
Staff,フレイムウォール,Comestion,,"Generates a towering wall of flame; though only modest in power, it ignites adversaries with ease.",Magick Archer,Dragon's Dogma
Staff,フロストスパイク,Frigor,,Generates a giant chunk of ice that can serve as a stepping stone.,Magick Archer,Dragon's Dogma
Staff,サンダーウィップ,Brontide,,"Wraps the users body in a whip-like bolt of lightning capable of damaging foes. (Attack with heavy and light attacks, press Jump to cancel)",Magick Archer,Dragon's Dogma
Staff,フレイムウォール2,High Comestion,,An advanced form of Comestion that invokes an even longer wall of flame easily able to ignite foes.,Magick Archer,Dragon's Dogma
Staff,フロストスパイク2,High Frigor,,An advanced form of Frigor that generates three spires of ice. The last one can serve as a stepping stone.,Magick Archer,Dragon's Dogma
Staff,サンダーウィップ2,High Brontide,,An advanced form of Brontide that calls forth a longer-lasting whip of lightning that drops more bolts when dismissed.,Magick Archer,Dragon's Dogma
Staff,ファイアボールEX,Grand Ingle,,An advanced form of High Ingle that looses a greater number of fiery projectiles that explode on contact.,Magick Archer,Dragon's Dogma
Staff,サンダーレインEX,Grand Levin,,An advanced form of High Levin that smites foe with an even greater number of lightning bolts.,Magick Archer,Dragon's Dogma
Staff,フロストスパイクEX,Grand Frigor,,An advanced form of High Frigor that generates an even greater quantity of icy spires.,Magick Archer,Dragon's Dogma
Staff,サンダーウィップEX,Grand Brontide,,An advanced form of High Brontide that erodes less Stamina and periodically drops lightning bolts around the user.,Magick Archer,Dragon's Dogma
Core Skill,,Empale,,Release a stabbing strike straight forward.,Mystic Knight,Dragon's Dogma
Core Skill,,Vault,,Executes a jump to a higher location.,Mystic Knight,Dragon's Dogma
Core Skill,回り受け身,Controlled Fall,,"Tucks the body into a tight roll when falling, mitigating harm.",Mystic Knight,Dragon's Dogma
Sword,一閃突き,Blink Strike,,Rushes at the target and visits a powerful blow.,Mystic Knight,Dragon's Dogma
Sword,払い斬り,Broad Cut,,Cuts a broad swath with the blade while falling back to avoid attacks.,Mystic Knight,Dragon's Dogma
Sword,一閃突き2,Burst Strike,,An advanced form of Blink Strike honed to travel greater distances.,Mystic Knight,Dragon's Dogma
Sword,払い斬り2,Broad Slash,,An advanced form of Broad Cut. The path can be altered while executing the attack.,Mystic Knight,Dragon's Dogma
Sword,円月斬り,Compass Slash,,"Spins with blade extended, drawing a deadly circle especially effective when surrounded. Employable while under attack.",Mystic Knight,Dragon's Dogma
Sword,刀牙昇斬2,Antler Toss,,An advanced form of Tusk Toss able to lift even heavier foes aloft. Can strike foes multiple times midair.,Mystic Knight,Dragon's Dogma
Sword,直下突き2,Downcrack,,An advanced form of Downthrust that strikes twice. It is more powerful and broader in reach.,Mystic Knight,Dragon's Dogma
Sword,一閃突きEX,Blitz Strike,,An advanced form of Burst Strike that moves more quickly and travels even greater distances.,Mystic Knight,Dragon's Dogma
Staff,ファイアボール2,High Ingle,,An advanced form of Ingle that looses a number of fiery projectiles that explode on contact.,Mystic Knight,Dragon's Dogma
Staff,サンダーウィップ,Brontide,,"Wraps the users body in a whip-like bolt of lightning capable of damaging foes. (Attack with heavy and light attacks, press Jump to cancel)",Mystic Knight,Dragon's Dogma
Staff,フレイムウォール,Comestion,,"Generates a towering wall of flame; though only modest in power, it ignites adversaries with ease.",Mystic Knight,Dragon's Dogma
Staff,フロストスパイク2,High Frigor,,An advanced form of Frigor that generates three spires of ice. The last one can serve as a stepping stone.,Mystic Knight,Dragon's Dogma
Staff,サンダーウィップEX,Grand Brontide,,An advanced form of High Brontide that erodes less Stamina and periodically drops lightning bolts around the user.,Mystic Knight,Dragon's Dogma
Core Skill,,Carve,,Continuous attacks with a dagger.,Ranger,Dragon's Dogma
Dagger,かまいたち,Biting Wind,,"Dashes past the target with blades extended, delivering slashes that can be followed with further attacks on contacs.",Ranger,Dragon's Dogma
Dagger,かまいたち2,Cutting Wind,,"An advanced form of Biting Wind. Slashes past the target, appending more strikes to the onslaught upon connecting with foe.",Ranger,Dragon's Dogma
Dagger,アギト裂き2,Advanced Trigger,,An advanced form of Toss and Trigger that both strengthens the upward slash and broadens the subsequent blast.,Ranger,Dragon's Dogma
Dagger,眩ませ縛り2,Dazzle Blast,,An advanced form of Dazzle Hold that tosses an explosive crafted to stun foes within a broader radius.,Ranger,Dragon's Dogma
Core Skill,,Onslaught,,Continuous attacks with one-handed sword.,Fighter,Dragon's Dogma
Core Skill,,Empale,,Release a stabbing strike straight forward.,Fighter,Dragon's Dogma
Core Skill,,Vault,,Executes a jump to a higher location.,Fighter,Dragon's Dogma
Core Skill,強連撃,Dire Onslaught,,An advanced form of Onslaught that strengthens a chain of one-handed sword slashes.,Fighter,Dragon's Dogma
Core Skill,強刺し崩し,Takedown,,An advanced form of Empale that appends a tackle to a forceful jab.,Fighter,Dragon's Dogma
Core Skill,回り受け身,Controlled Fall,,"Tucks the body into a tight roll when falling, mitigating harm.",Fighter,Dragon's Dogma
Core Skill,,Defend,,Use your shield to block an enemy's attack.,Fighter,Dragon's Dogma
Core Skill,盾弾き,Deflect,,An advanced form of Defend that deflects attacks back toward the assailant.,Fighter,Dragon's Dogma
Sword,一閃突き,Blink Strike,,Rushes the target and visits a powerful blow upon them.,Fighter,Dragon's Dogma
Sword,払い斬り,Broad Cut,,Cuts a broad swath with the blade while falling back to avoid attacks.,Fighter,Dragon's Dogma
Sword,天蓋斬り,Skyward Lash,,Looses a flurry of skyward slashes well-suited to bringing flying foes to the ground.,Fighter,Dragon's Dogma
Sword,刀牙昇斬,Tusk Toss,,"Traces a grand skyward arc with the blade, sending lightweight foes into the air.",Fighter,Dragon's Dogma
Sword,一閃突き2,Burst Strike,,An advanced form of Blink Strike honed to travel greater distances.,Fighter,Dragon's Dogma
Sword,ワタえぐり,Flesh Skewer,,"Thrusts the blade into the target's body, pinning them in place while raining further blows upon them.",Fighter,Dragon's Dogma
Sword,払い斬り2,Broad Slash,,An advanced form of Broad Cut that allows the user to fall back in the direction of their choosing while cutting a broad swath with the weapon.,Fighter,Dragon's Dogma
Sword,天蓋斬り2,Heavenward Lash,,An advanced form of Skyward Slash that appends still more slashes to the onslaught.,Fighter,Dragon's Dogma
Sword,逸らし斬り,Hindsight Slash,,Ducks backward afore charging in to deliver a slashing blow. Using it as an evasive maneuver increases its power.,Fighter,Dragon's Dogma
Sword,円月斬り,Compass Slash,,"Spins with blade extended, drawing a deadly circle especially effective when surrounded, Employable while under attack.",Fighter,Dragon's Dogma
Sword,直下突き,Downthrust,,"Plants the blade into the earth at one's feet. Though its range is limited, the force behind the thrust is great.",Fighter,Dragon's Dogma
Sword,刀牙昇斬2,Antler Toss,,An advanced form of Tusk Toss able to lift even heavier foes aloft. It can strike foes multiple times midair.,Fighter,Dragon's Dogma
Sword,逸らし斬り2,Hindsight Sweep,,An advanced form of Hindsight Slash that becomes even stronger as attacks are evaded.,Fighter,Dragon's Dogma
Sword,ワタえぐり2,Soul Skewer,,An advanced form of Flesh Skewer that binds the target for a longer while visiting more blows upon them.,Fighter,Dragon's Dogma
Sword,岩体術,Stone Will,,"Hardens the flesh, allowing the user to stand firm against all attacks and take less damage for a time.",Fighter,Dragon's Dogma
Sword,直下突き2,Downcrack,,An advanced form of Downthrust that strikes twice. It is more powerful and broader in its reach.,Fighter,Dragon's Dogma
Sword,円月斬り2,Full Moon Slash,,An advanced form of Compass Slash gifted with broader reach and the ability to hit multiple times.,Fighter,Dragon's Dogma
Sword,岩体術2,Steel Will,,An advanced form of Stone Will that remains active for a longer period of time.,Fighter,Dragon's Dogma
Sword,蜂舞斬,Legion's Bite,,"Unleashes a swift, powerful and broad reaching onslaught employable even while under attack. Requires a lot of Stamina.",Fighter,Dragon's Dogma
Sword,蜂舞斬2,Dragon's Maw,,An advanced form of Legion's Bite that extends across an even broader range.,Fighter,Dragon's Dogma
Sword,一閃突きEX,Blitz Strike,,An advanced form of Burst Strike that moves more quickly and travels even greater distances.,Fighter,Dragon's Dogma
Sword,直下突きEX,Downcrush,,An advanced form of Downcrack that hits for greater damage and can land additional strikes on withdrawal.,Fighter,Dragon's Dogma
Sword,ワタえぐりEX,Fate Skewer,,An advanced form of Soul Skewer with an increased number of strikes and hastened attack speed during the barrage.,Fighter,Dragon's Dogma
Sword,逸らし斬りEX,Hindsight Strike,,An advanced form of Hindsight Sweep that strikes twice after evading for an even deadlier riposte.,Fighter,Dragon's Dogma
Shield,盾惹き,Shield Summons,,Raps the shield loudly to attract the attention of nearby foes.,Fighter,Dragon's Dogma
Shield,シールドアタック,Shield Strike,,Strikes a blow with the shield that causes little damage but forces the target to drop their guard.,Fighter,Dragon's Dogma
Shield,シールドバッシュ,Cymbal Attack,,Unleashes a barrage of strikes using the shield.,Fighter,Dragon's Dogma
Shield,空舞の盾,Springboard,,Launches allies into the air using the shield. A supporting technique for tandem moves.,Fighter,Dragon's Dogma
Shield,盾惹き2,Shield Drum,,"An advanced form of Shield Summons that carries further, drawing the ire of more distant enemies.",Fighter,Dragon's Dogma
Shield,センチュリオンスパイク,Sheltered Spike,,"Unleashes a flurry of stabbing attacks while maintaining the user's guard from all quarters, except the rear.",Fighter,Dragon's Dogma
Shield,シールドアタック2,Shield Storm,,"An advanced form of Shield Strike that deploys more quickly, shrinking the user's window of vulnerability.",Fighter,Dragon's Dogma
Shield,シールドバッシュ2,Cymbal Onslaught,,An advanced form of Cymbal Attack that appends still more blow to the onslaught.,Fighter,Dragon's Dogma
Shield,空舞の盾2,Launchboard,,An advanced form of Springboard that launches allies to greater heights.,Fighter,Dragon's Dogma
Shield,センチュリオンスパイク2,Sheltered Assault,,An advanced form of Sheltered Spike that appends still more strikes to the onslaught.,Fighter,Dragon's Dogma
Shield,マーズソウル,Perfect Defense,,"Guards against all manner of attacks, no matter the properties of the shield in use.",Fighter,Dragon's Dogma
Shield,マーズソウル2,Divine Defense,,An advanced form of Perfect Defense that greatly decreases Stamina usage.,Fighter,Dragon's Dogma
Shield,シールドアタックEX,Shield Slam,,An advanced form of Shield Strike that shrinks the user's window of vulnerability with a faster blow that forces the target to drop their guard.,Fighter,Dragon's Dogma
Shield,センチュリオンスパイクEX,Sheltered Fusillade,,An advanced form of Sheltered Assault that hastens attack speed while adding yet more strikes to the salvo.,Fighter,Dragon's Dogma
Augment,剛腕,Fitness,,Halves the Stamina consumed when you lift objects or grapple-hold opponents | Does not work when Climbing,Fighter,Dragon's Dogma
Augment,活性,Vigilance,,Extends the limit of your Health | Increases Health by 100,Fighter,Dragon's Dogma
Augment,速離,Egression,,Facilitates easier escapes from battle | Halves the L-stick wiggles needed to free yourself from grabs,Fighter,Dragon's Dogma
Augment,筋力,Sinew,,Grants you the energy to carry additional weight | Increases the maximum weight and encumbrance thresholds by 20kg.,Fighter,Dragon's Dogma
Augment,本領,Exhilaration,,Provides a surge in strength when you stand at death's door | At Critical Health strength is increased by 50%. (35% in Dark Arisen ),Fighter,Dragon's Dogma
Augment,見極,Prescience,,"Allows you to more easily perform perfect blocks, just as foes strike | Perfect Blocking is easier. Five more frames (1/6th second) in which you can guard",Fighter,Dragon's Dogma
Augment,猛攻,Vehemence,,Augments your Strength | Strength is increased by 10%.,Fighter,Dragon's Dogma
